Date,Low,High,Close,Open
2013-03-08,13.47,15.2,14.92,13.5
2013-03-01,12.7,13.95,13.61,13.6
2013-02-22,12.9,14.56,13.57,14.33
2013-02-15,13.16,15.01,14.5,14.89
2013-02-08,13.86,15.4,14.75,14.08
2013-02-01,14.02,15.31,14.12,15.0
2013-01-25,14.44,15.64,14.97,14.47
2013-01-18,14.11,14.87,14.44,14.81
2013-01-11,14.53,15.5,14.78,14.79
2013-01-04,12.84,14.87,14.73,12.85
2012-12-28,12.65,13.55,12.79,13.34
2012-12-21,12.73,13.75,13.44,13.1
2012-12-14,12.6,13.26,12.83,12.79
2012-12-07,11.97,13.05,12.77,12.92
2012-11-30,12.2,13.09,12.89,12.41
2012-11-23,11.7,12.57,12.5,11.78
2012-11-16,11.52,12.9,11.76,12.72
2012-11-09,12.18,13.19,12.61,12.57
2012-11-02,11.55,12.69,12.53,11.8
2012-10-26,11.45,12.63,11.92,11.49
2012-10-19,11.25,12.12,11.47,11.47
2012-10-12,11.01,11.84,11.36,11.76
2012-10-05,10.32,12.22,11.66,10.35
2012-09-28,10.15,10.94,10.46,10.66
2012-09-21,10.19,11.24,10.67,10.63
2012-09-14,10.49,12.48,10.53,12.1
2012-09-07,10.22,12.2,12.14,10.61
2012-08-31,10.1,11.36,10.66,11.16
2012-08-24,10.07,11.75,11.11,10.08
2012-08-17,9.9,10.4,10.08,10.2
2012-08-10,9.74,11.12,10.07,10.94
2012-08-03,10.61,11.63,10.89,11.3
2012-07-27,10.59,12.49,11.35,11.88
2012-07-20,11.87,14.5,12.01,14.4
2012-07-13,13.27,14.51,14.45,13.82
2012-07-06,12.88,14.09,13.87,13.43
2012-06-29,12.57,13.8,13.33,13.0
2012-06-22,11.83,13.78,13.17,12.03
2012-06-15,11.33,12.55,12.03,12.22
2012-06-08,11.12,12.63,12.15,12.63
2012-06-01,12.22,13.36,12.64,12.41
2012-05-25,10.07,12.4,12.3,10.07
2012-05-18,9.65,11.73,10.06,11.44
2012-05-11,10.57,11.47,11.32,10.65
2012-05-04,10.06,10.94,10.7,10.27
2012-04-27,8.95,10.44,10.31,9.15
2012-04-20,7.85,9.77,9.34,7.86
2012-04-13,7.45,7.94,7.84,7.75
2012-04-05,7.41,8.04,7.78,7.59
2012-03-30,7.42,7.97,7.59,7.63
2012-03-23,7.05,7.8,7.55,7.11
2012-03-16,6.78,7.74,7.15,7.0
2012-03-09,6.83,7.39,7.03,7.39
2012-03-02,6.9,7.83,7.63,7.07
2012-02-24,6.97,8.89,6.99,8.87
2012-02-17,8.68,9.25,8.9,8.98
2012-02-10,8.6,9.62,8.85,9.61
2012-02-03,8.1,9.91,9.64,8.52
2012-01-27,6.11,8.27,8.18,6.43
2012-01-20,5.81,6.57,6.37,6.01
2012-01-13,5.55,6.2,5.97,5.56
2012-01-06,4.97,5.67,5.6,5.2
2011-12-30,5.05,5.69,5.07,5.56
2011-12-23,5.42,6.23,5.62,6.18
2011-12-16,5.14,6.21,6.18,5.46
2011-12-09,4.97,5.68,5.62,5.01
2011-12-02,4.16,5.25,4.84,4.21
2011-11-25,3.96,4.37,4.02,4.33
2011-11-18,4.32,5.2,4.42,5.03
2011-11-11,4.75,5.55,5.01,5.5
2011-11-04,5.09,5.9,5.5,5.87
2011-10-28,5.59,6.13,5.94,5.8
2011-10-21,5.68,6.16,5.87,6.02
